sample_id	cram	crai	population
HG03103	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242977/HG03103.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242977/HG03103.final.cram.crai	ESN
HG03108	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242490/HG03108.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242490/HG03108.final.cram.crai	ESN
HG03166	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242985/HG03166.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242985/HG03166.final.cram.crai	ESN
HG03298	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242993/HG03298.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242993/HG03298.final.cram.crai	ESN
HG03382	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242966/HG03382.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242966/HG03382.final.cram.crai	MSL
HG03518	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3243006/HG03518.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3243006/HG03518.final.cram.crai	ESN
HG03548	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242571/HG03548.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242571/HG03548.final.cram.crai	MSL
HG03616	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242645/HG03616.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242645/HG03616.final.cram.crai	BEB
HG03668	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242635/HG03668.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242635/HG03668.final.cram.crai	PJL
HG03713	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242698/HG03713.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242698/HG03713.final.cram.crai	ITU
HG03833	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242658/HG03833.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242658/HG03833.final.cram.crai	BEB
HG03854	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3243093/HG03854.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3243093/HG03854.final.cram.crai	STU
HG03864	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242719/HG03864.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242719/HG03864.final.cram.crai	ITU
HG03986	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242693/HG03986.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242693/HG03986.final.cram.crai	STU
HG04006	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242687/HG04006.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242687/HG04006.final.cram.crai	STU
HG04093	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242938/HG04093.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242938/HG04093.final.cram.crai	ITU
HG04153	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3243078/HG04153.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3243078/HG04153.final.cram.crai	BEB
HG04239	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3243140/HG04239.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3243140/HG04239.final.cram.crai	ITU
NA11843	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239460/NA11843.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239460/NA11843.final.cram.crai	CEU
NA12046	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239645/NA12046.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239645/NA12046.final.cram.crai	CEU
NA12283	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239469/NA12283.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239469/NA12283.final.cram.crai	CEU
