sample_id	cram	crai	population
NA19776	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239947/NA19776.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239947/NA19776.final.cram.crai	MXL
NA19835	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239962/NA19835.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239962/NA19835.final.cram.crai	ASW
NA19909	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239967/NA19909.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239967/NA19909.final.cram.crai	ASW
NA20282	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239979/NA20282.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239979/NA20282.final.cram.crai	ASW
NA20346	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239992/NA20346.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239992/NA20346.final.cram.crai	ASW
NA20503	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239786/NA20503.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239786/NA20503.final.cram.crai	TSI
NA20752	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239832/NA20752.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239832/NA20752.final.cram.crai	TSI
NA20762	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239842/NA20762.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239842/NA20762.final.cram.crai	TSI
NA20799	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239867/NA20799.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239867/NA20799.final.cram.crai	TSI
NA20805	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239873/NA20805.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239873/NA20805.final.cram.crai	TSI
